length,index,label,estimator,prefix_mode,L0,Lnm,Lm,score
32,0,0,exact_match,no_prefix,-145.61791440542055,-130.37119647220379,-146.62869234015224,-145.61791440542055
32,0,0,exact_match,nonmember_prefix,-145.61791440542055,-130.37119647220379,-146.62869234015224,0.89529641325058551
32,0,0,exact_match,member_nonmember_contrast,-145.61791440542055,-130.37119647220379,-146.62869234015224,-0.11164488884716009
32,0,0,cosine_similarity,no_prefix,-7.7381619155547456,-7.0257600708246652,-7.2541849409454056,-7.7381619155547456
32,0,0,cosine_similarity,nonmember_prefix,-7.7381619155547456,-7.0257600708246652,-7.2541849409454056,0.90793655489450831
32,0,0,cosine_similarity,member_nonmember_contrast,-7.7381619155547456,-7.0257600708246652,-7.2541849409454056,-0.029519267316127827
32,0,0,semantic_kernel,no_prefix,-46.847754059252793,-43.054490171743808,-45.754220329769595,-46.847754059252793
32,0,0,semantic_kernel,nonmember_prefix,-46.847754059252793,-43.054490171743808,-45.754220329769595,0.91902997350286453
32,0,0,semantic_kernel,member_nonmember_contrast,-46.847754059252793,-43.054490171743808,-45.754220329769595,-0.057627739306588363
32,1,1,exact_match,no_prefix,-129.92448009867789,-116.18805006474901,-132.23306274119986,-129.92448009867789
32,1,1,exact_match,nonmember_prefix,-129.92448009867789,-116.18805006474901,-132.23306274119986,0.89427373483814565
32,1,1,exact_match,member_nonmember_contrast,-129.92448009867789,-116.18805006474901,-132.23306274119986,-0.12349491538672801
32,1,1,cosine_similarity,no_prefix,-7.6438733850570619,-7.612575996050456,-7.7474339291616792,-7.6438733850570619
32,1,1,cosine_similarity,nonmember_prefix,-7.6438733850570619,-7.612575996050456,-7.7474339291616792,0.99590555894505151
32,1,1,cosine_similarity,member_nonmember_contrast,-7.6438733850570619,-7.612575996050456,-7.7474339291616792,-0.017642617337808829
32,1,1,semantic_kernel,no_prefix,-48.005453277384753,-47.908047840812316,-49.081621323024073,-48.005453277384753
32,1,1,semantic_kernel,nonmember_prefix,-48.005453277384753,-47.908047840812316,-49.081621323024073,0.99797095059160035
32,1,1,semantic_kernel,member_nonmember_contrast,-48.005453277384753,-47.908047840812316,-49.081621323024073,-0.024446670161213234
