status,model,data,sub_dataset,length,tau,gamma,num_shots,auc_pct,accuracy_pct,tpr1_fpr_pct,tpr5_fpr_pct,tpr10_fpr_pct,result_name,output_dir,roc_path,log_file
ok,EleutherAI/gpt-neox-20b,swj0419/WikiMIA,WikiMIA_length32,32,0.03,0,7,73.3,68.7,2.6,20.0,32.1,wpmia_len32_tau_0p03_gamma_0,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7/wpmia_len32_tau_0p03_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_065917_wikimia_gptneox20b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p03_gamma_0.log
ok,EleutherAI/gpt-neox-20b,swj0419/WikiMIA,WikiMIA_length32,32,0.03,0.25,7,77.7,72.0,2.1,23.2,36.1,wpmia_len32_tau_0p03_gamma_0p25,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7/wpmia_len32_tau_0p03_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_065917_wikimia_gptneox20b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p03_gamma_0p25.log
ok,EleutherAI/gpt-neox-20b,swj0419/WikiMIA,WikiMIA_length32,32,0.03,0.5,7,80.9,73.8,7.1,28.7,45.8,wpmia_len32_tau_0p03_gamma_0p5,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7/wpmia_len32_tau_0p03_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_065917_wikimia_gptneox20b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p03_gamma_0p5.log
ok,EleutherAI/gpt-neox-20b,swj0419/WikiMIA,WikiMIA_length32,32,0.03,0.75,7,82.7,75.7,7.9,33.7,49.2,wpmia_len32_tau_0p03_gamma_0p75,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7/wpmia_len32_tau_0p03_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_065917_wikimia_gptneox20b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p03_gamma_0p75.log
ok,EleutherAI/gpt-neox-20b,swj0419/WikiMIA,WikiMIA_length32,32,0.03,1.0,7,82.8,75.1,11.6,39.2,50.5,wpmia_len32_tau_0p03_gamma_1p0,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7/wpmia_len32_tau_0p03_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_065917_wikimia_gptneox20b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p03_gamma_1p0.log
ok,EleutherAI/gpt-neox-20b,swj0419/WikiMIA,WikiMIA_length32,32,0.05,0,7,74.5,69.6,2.9,15.3,32.6,wpmia_len32_tau_0p05_gamma_0,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7/wpmia_len32_tau_0p05_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_065917_wikimia_gptneox20b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p05_gamma_0.log
ok,EleutherAI/gpt-neox-20b,swj0419/WikiMIA,WikiMIA_length32,32,0.05,0.25,7,78.9,73.7,2.6,19.2,37.9,wpmia_len32_tau_0p05_gamma_0p25,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7/wpmia_len32_tau_0p05_gamma_0p25_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_065917_wikimia_gptneox20b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p05_gamma_0p25.log
ok,EleutherAI/gpt-neox-20b,swj0419/WikiMIA,WikiMIA_length32,32,0.05,0.5,7,81.9,75.4,4.2,26.8,43.9,wpmia_len32_tau_0p05_gamma_0p5,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7/wpmia_len32_tau_0p05_gamma_0p5_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_065917_wikimia_gptneox20b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p05_gamma_0p5.log
ok,EleutherAI/gpt-neox-20b,swj0419/WikiMIA,WikiMIA_length32,32,0.05,0.75,7,83.8,76.3,13.2,32.1,52.1,wpmia_len32_tau_0p05_gamma_0p75,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7/wpmia_len32_tau_0p05_gamma_0p75_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_065917_wikimia_gptneox20b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p05_gamma_0p75.log
ok,EleutherAI/gpt-neox-20b,swj0419/WikiMIA,WikiMIA_length32,32,0.05,1.0,7,84.1,76.6,14.7,36.8,56.6,wpmia_len32_tau_0p05_gamma_1p0,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7/wpmia_len32_tau_0p05_gamma_1p0_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_065917_wikimia_gptneox20b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p05_gamma_1p0.log
ok,EleutherAI/gpt-neox-20b,swj0419/WikiMIA,WikiMIA_length32,32,0.1,0,7,79.4,73.9,4.7,22.9,40.5,wpmia_len32_tau_0p1_gamma_0,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7,simmia_out/WikiMIA/WikiMIA_length32/gpt-neox-20b/7/wpmia_len32_tau_0p1_gamma_0_roc_tpr_at_5_fpr.png,logs/wpmia/20260524_065917_wikimia_gptneox20b_wpmia/WikiMIA_length32_wpmia_len32_tau_0p1_gamma_0.log
